Traffic_Source,Time_Spent_on_Funnel_Stages,Bounce_Rate,Interactions,Number_of_Visits_Before_Conversion,Cart_Abandonment_Rate,Purchase_History,Device_Type,Time_of_Day,Discount_Usage,Loyalty_Score,Noise_Feature_1,Noise_Feature_2,Conversion
Organic Search,12.056118097922978,0.32800476528381983,3,1,0.463334010575837,Yes,Tablet,Morning,No,7.718140991281537,0.8278659378058604,25,1
Social Media,14.298222561507528,0.4824228601461204,2,1,0.5561925791619013,No,Mobile,Afternoon,Yes,1.9003232463281186,0.7785732860059781,29,1
Direct,7.876255613062391,0.6792931400911466,6,4,0.3496332293088526,No,Mobile,Afternoon,No,9.053512887486086,0.1687092643368746,51,1
Direct,14.477363463809876,0.0,3,2,0.6663760776794243,Yes,Mobile,Afternoon,No,5.78278771855876,0.9667617690097714,71,1
Direct,8.273944185834049,0.5594504597080068,8,3,0.6714859330203427,No,Mobile,Afternoon,Yes,6.748896815942512,0.9717535749406806,54,1
Organic Search,6.858632287500947,0.09218901568590632,3,4,0.5704607772551954,No,Desktop,Afternoon,Yes,5.210959486097547,0.9829911440311289,69,1
Organic Search,6.108624637443567,0.6456655421088924,7,4,0.17114784801682736,No,Mobile,Afternoon,Yes,5.013265778890542,0.09858242104089132,11,1
Direct,12.911247223978227,0.27259487802542787,5,2,0.6387980969197525,No,Mobile,Evening,Yes,4.89028729447333,0.7479985304240736,70,1
Paid Ads,5.659568355836685,0.15646572447870322,7,6,0.6667839626388075,Yes,Mobile,Afternoon,No,5.606139985132722,0.6399802969352634,80,0
Organic Search,10.205807929924962,0.5390538454177495,4,10,0.1581970730932294,No,Mobile,Evening,No,3.4312909602430013,0.9751660546672336,58,0
Direct,6.322508494822375,0.4728340126284822,1,3,0.6788915142171135,Yes,Mobile,Afternoon,Yes,2.907526505464519,0.6090572753916629,92,1
Organic Search,6.6190797122769105,0.20016261940766839,7,5,0.5123050348030977,Yes,Desktop,Evening,No,5.469991352132467,0.6844177308915832,71,1
Direct,11.090749081908701,0.14940004856632128,6,4,0.6554938704475108,No,Desktop,Evening,Yes,3.8630621763032,0.053860533595035176,86,1
Paid Ads,6.859889461131939,0.3625037025017436,5,2,1.0,No,Desktop,Afternoon,No,5.067890196348988,0.3271454997176848,33,1
Direct,6.785613861739121,0.1591826099657607,3,3,0.2873867715345474,Yes,Mobile,Evening,Yes,5.232967747921161,0.6312771082433837,65,1
Social Media,11.398414091524423,0.18770540541527447,5,1,0.470441912265485,No,Mobile,Morning,No,6.612127194804199,0.2998407268278269,55,0
Paid Ads,12.79219187966487,0.4231241580842867,4,1,0.5699172941322429,No,Mobile,Afternoon,Yes,4.287425378734405,0.42927083716763836,22,1
Direct,9.9340694098527,0.20682567314898068,6,1,0.3420095735123785,No,Desktop,Morning,No,3.8132935488381268,0.8540588464030962,14,0
Direct,6.035690673128152,0.4853078580053086,4,3,0.9314850529863175,Yes,Mobile,Evening,No,4.136083710276413,0.9694340221834568,32,1
Paid Ads,6.468174502107262,0.6980287191766954,3,4,0.11531309595493072,No,Mobile,Morning,No,3.910786604683654,0.9806521415016426,35,0
Paid Ads,8.239745791220113,0.37028891701988353,6,3,0.7598124600829808,Yes,Mobile,Afternoon,Yes,5.90012688850048,0.5044585211012691,46,1
Paid Ads,8.962790185776973,0.4260302123971169,5,2,0.38739380270971613,Yes,Mobile,Evening,No,3.8868923067966055,0.4620566798241833,40,0
Paid Ads,5.036402269580684,0.8036193465670974,5,4,0.443493891836376,Yes,Desktop,Night,No,8.37375982912221,0.4329552852771018,41,1
Direct,10.169113818739591,0.16247977652453063,8,1,0.6538472480754083,No,Mobile,Night,No,3.1415677659905437,0.002125095640501784,51,0
Organic Search,8.256539988918798,0.6382470390361484,4,1,0.6751995846952097,No,Mobile,Evening,No,4.0457717724813484,0.6189994648262734,29,1
Direct,2.8528750440856117,0.6141715195824965,5,2,0.7302255565429301,No,Tablet,Afternoon,Yes,1.2858462206110337,0.0606499105127809,52,1
Paid Ads,5.213220552617809,0.5708634678347566,4,1,0.6227229036697186,No,Mobile,Morning,Yes,3.6844043012812877,0.9167227907252846,57,1
Organic Search,6.487613979045009,0.6583495701465263,3,5,0.5648522987783222,No,Mobile,Afternoon,No,5.333222966189611,0.3308620544338301,7,1
Organic Search,7.781426933476835,0.4561149931917238,4,1,0.2673733725800113,No,Mobile,Evening,No,5.149754727809246,0.5132829229940078,31,1
Direct,13.667836386511988,0.2834141008801465,4,1,0.5981342686373323,No,Mobile,Night,Yes,3.925573649083506,0.9043589677393609,64,1
Organic Search,8.714513918418884,0.6189146582441135,4,2,0.25895023572239406,No,Mobile,Evening,Yes,6.493162939689504,0.7072802621961278,30,1
Organic Search,5.477684330304125,0.626568442342579,7,3,0.752185420068365,Yes,Mobile,Evening,Yes,4.036885107292241,0.1276956631940731,0,1
Paid Ads,8.661892412921489,0.6210627802986576,3,2,0.47977199942818943,No,Mobile,Evening,No,2.4968210120250336,0.6924058158162382,52,1
Organic Search,6.943736757638357,0.40890041646384734,4,1,0.5492210614207667,Yes,Mobile,Night,No,5.783170411806433,0.5956185491874597,6,1
Paid Ads,8.974274718600626,0.2567610972773347,9,4,0.472469484574702,No,Mobile,Evening,Yes,5.376204241515239,0.7872564345535313,89,1
Organic Search,9.741703061106843,0.43827245082232225,4,3,0.3605831524202783,No,Desktop,Afternoon,No,4.197308435781442,0.0817663991558264,51,0
Direct,11.627691941671813,0.5884460035135672,2,1,0.7659183655697211,No,Mobile,Afternoon,No,4.588878702335531,0.9592236845000773,44,0
Paid Ads,7.927140512989922,0.6048703579719932,5,3,0.4279057681024683,Yes,Mobile,Afternoon,Yes,5.983879261078789,0.062349724648703364,18,1
Paid Ads,12.9168815827995,0.31406477458508103,5,5,0.24436329604650575,No,Desktop,Morning,No,8.272338171949599,0.46791442781022585,2,0
Organic Search,10.724067987608574,0.463074579225478,3,3,0.24487018507612685,Yes,Desktop,Afternoon,Yes,4.061501027075969,0.6906808647792448,46,1
Paid Ads,5.877681365563436,0.1382443391028088,11,2,0.3443092659223778,Yes,Mobile,Evening,No,8.48655090221726,0.7223858367902914,58,1
Organic Search,14.629566997245393,0.5969900206011702,3,3,0.12991362783196386,Yes,Mobile,Afternoon,Yes,7.6757059211976175,0.2643615659671926,70,1
Organic Search,8.980983539810293,0.24333824865498732,5,1,0.5549515183154521,No,Mobile,Evening,No,4.0002308936597535,0.641256705789283,77,1
Organic Search,5.494626488083295,0.5570510719143095,7,2,0.516731167775074,No,Desktop,Evening,Yes,4.401774329606843,0.051917579152345295,43,1
Direct,12.958739153691265,0.17013908452196766,7,3,0.028793559349343578,No,Mobile,Morning,Yes,10.0,0.34499623455744544,97,1
Direct,14.233332755595335,0.6062831812868016,5,1,0.6201622713109148,Yes,Mobile,Afternoon,Yes,2.312127215099151,0.9337384553775436,86,1
Direct,7.900924208841318,0.46436703800455414,5,6,0.39722318739896917,Yes,Mobile,Evening,Yes,3.8556422629648135,0.4582293814235201,53,1
Organic Search,6.489049218873211,0.24372846087661076,5,2,0.4064837718725975,No,Desktop,Night,No,3.69652512207298,0.8557539171253132,97,1
Organic Search,7.482875127639014,0.538271276216105,1,4,0.15136355800010437,Yes,Mobile,Night,No,0.47454209385546076,0.14594663513814987,53,1
Organic Search,10.1441951825531,0.2819276616389339,2,2,0.7923654803394649,Yes,Desktop,Morning,Yes,7.349261186438399,0.4556224494993384,9,1
Social Media,11.833569965091542,0.5499110074890257,7,1,0.5767189109413771,No,Mobile,Morning,No,6.497413173724629,0.6106601545698049,23,1
Direct,9.71146199259072,0.34517770492385574,3,1,0.5135836458540833,No,Tablet,Night,Yes,5.854677974832154,0.3109628162569127,16,1
Organic Search,8.30516962541531,0.05579057487406741,2,1,0.2610590493505104,No,Mobile,Morning,No,6.887442935697703,0.9793385192578312,49,1
Paid Ads,12.494035310913283,0.2035167519038126,4,3,0.5523322617143096,No,Mobile,Evening,Yes,5.619290333890023,0.5091809972773236,36,1
Direct,7.061490580845433,0.3139170582625431,4,1,0.7084253030518587,Yes,Mobile,Afternoon,No,6.9664792236994275,0.2774915772294091,81,1
Direct,11.09275801510072,0.6736378047497156,7,1,0.6083847250083622,Yes,Desktop,Afternoon,No,8.518476876202149,0.6630649614057871,15,1
Direct,7.135811604946165,0.580228726105845,5,1,0.31643504594816296,Yes,Mobile,Afternoon,No,5.2812962284469,0.8460674154878941,48,1
Direct,9.293068874032679,0.7247722824644285,3,2,0.7289119056161447,Yes,Mobile,Afternoon,Yes,10.0,0.3245039709455956,30,1
Social Media,7.659312305628646,0.7307270432059717,5,3,0.5076203111399162,No,Desktop,Afternoon,No,4.9437130419972135,0.45182876830435204,27,1
Paid Ads,7.832443452041567,0.29304983908181703,5,2,0.7498674816202975,Yes,Mobile,Evening,Yes,2.4220761450476163,0.9470957934090616,86,1
Organic Search,6.8678404476133705,0.36230262804823415,3,1,0.06874264615442383,Yes,Tablet,Afternoon,Yes,5.5054192692742765,0.13696583294539244,23,1
Paid Ads,12.034562093542084,0.31774401513389233,6,1,0.07032663333968009,Yes,Mobile,Night,Yes,7.993521167268028,0.1912182849898013,6,1
Paid Ads,5.801221885674394,0.2656978789397847,3,3,0.39516873027084687,No,Desktop,Evening,Yes,6.336651405137144,0.9986113450630818,60,1
Direct,5.779303242353874,0.03170105813270829,5,3,0.4302694421775576,No,Tablet,Afternoon,Yes,4.780261852616319,0.4384736621473615,51,1
Paid Ads,14.362980697535328,0.39705045639663156,11,5,0.6790791472025912,No,Mobile,Afternoon,Yes,6.618146608988219,0.5590512796590961,56,1
Organic Search,10.933542693962995,0.14288688125777788,2,3,0.6695986970647232,No,Mobile,Night,Yes,5.218225862776682,0.5144299716071052,72,1
Paid Ads,1.0,0.39316562369313457,4,2,0.826386723512166,Yes,Desktop,Evening,Yes,3.8170163613560693,0.6309511093910417,83,1
Paid Ads,6.304223782368789,0.8231541619125969,8,1,0.49276093070427357,No,Desktop,Night,No,8.704046843235934,0.44730195081190693,66,1
Organic Search,2.5640319873138377,0.2981309807338583,7,2,0.5121254894970041,No,Desktop,Evening,No,7.072753634840121,0.3521090181135913,6,1
Direct,5.147927919754235,0.43895480112561347,3,1,0.40295906536579423,No,Mobile,Evening,Yes,7.215855451021266,0.374268461150982,62,1
Direct,1.0,0.5813296771618567,8,2,0.6327575529918312,No,Tablet,Afternoon,No,6.337200297276917,0.6211424198532862,57,1
Organic Search,7.589031266918173,0.4560582583931814,6,3,0.5755378503629676,No,Mobile,Afternoon,No,10.0,0.4331130574996832,49,1
Paid Ads,4.574174542516065,0.4584968375884592,4,3,0.4202405899315941,No,Desktop,Morning,Yes,6.846422003019122,0.4213281609318369,8,1
Paid Ads,8.179715770389315,0.32751951326238404,3,2,0.5343525539650055,No,Desktop,Afternoon,No,2.27130232777175,0.3239261153879396,29,0
Direct,3.124636223352425,0.3536244049877535,9,4,0.2806514601372311,No,Mobile,Evening,Yes,5.306547346448327,0.8248560529639062,26,1
Organic Search,8.24873555951612,0.20799789556243437,7,1,0.22399341985744808,No,Desktop,Evening,No,5.8842518818853025,0.1629085489561558,63,0
Organic Search,6.755251165639018,0.5692090017778816,4,7,0.5984903553047756,Yes,Desktop,Evening,No,5.711849849381254,0.6050486178467228,48,1
Direct,12.505858895565787,0.051701668677180845,5,1,0.5171158885213857,No,Mobile,Afternoon,Yes,6.259068328141474,0.9720112167240047,48,0
Direct,12.234070585236875,0.5942176676764405,5,1,0.34915702143953076,Yes,Mobile,Morning,Yes,3.9004233164493702,0.1940106088109681,40,0
Organic Search,10.356036809030849,0.11926032305095152,1,1,0.6642333284166674,No,Mobile,Morning,Yes,5.748838982248682,0.41721052532569725,54,1
Social Media,7.020158658016362,0.5925214548153305,2,1,0.27939021006900766,No,Mobile,Afternoon,No,4.4215518614116665,0.7178584515351727,16,0
Organic Search,13.95614118578088,0.3292364947575638,5,2,0.5489715948153154,No,Mobile,Afternoon,No,3.72537990601276,0.4307652141533427,32,0
Organic Search,3.3408941664805383,0.15362626237338395,2,2,0.5834516312258351,No,Tablet,Morning,Yes,7.963802588965484,0.010147448704347473,40,1
Paid Ads,3.7893241113090124,0.5158597290159274,7,2,0.7119139878627087,No,Mobile,Afternoon,Yes,2.3342782555947252,0.7079664645260157,77,0
Organic Search,7.7486507003328065,0.5857535070151549,5,3,0.556231637047538,No,Mobile,Evening,No,1.741992078250406,0.7173177086779504,69,1
Social Media,14.762114326763358,0.3123842703792926,7,4,0.5838301496417648,No,Tablet,Morning,No,3.164771689481942,0.7543581663810184,73,1
Social Media,7.392983279389737,0.5441221097357867,7,3,1.0,Yes,Desktop,Afternoon,No,4.4581798618065855,0.5096666169898044,31,1
Direct,7.450264270372154,0.0,5,2,0.6780143529696214,No,Mobile,Morning,No,8.405812019360427,0.30329508261228677,59,1
Organic Search,3.6742689316645727,0.13588074205067996,5,1,0.3648824960052674,No,Mobile,Evening,Yes,5.573470235566206,0.7804159555166186,25,1
Organic Search,10.837788755811136,0.6584817860937457,4,2,0.5070669052438005,Yes,Mobile,Afternoon,No,5.926681909889076,0.2670829955117706,83,1
Direct,10.859528762988061,0.35526614516041677,5,1,0.6833425209189206,No,Mobile,Afternoon,Yes,3.7509893476592744,0.20173953733146044,43,0
Direct,10.36722560419973,0.027557334710230474,6,5,0.38772973833573354,No,Desktop,Evening,No,6.2859011194953585,0.2673173887232787,76,1
Organic Search,6.112337981457912,0.26022676391160127,7,3,0.643778435495548,Yes,Mobile,Afternoon,No,7.634631765636442,0.2542346655251734,92,1
Organic Search,5.879879694880983,0.21531990549498387,4,2,0.13485063646856965,No,Mobile,Morning,Yes,2.7611560824835624,0.3486157891456414,33,1
Direct,4.120633248785088,0.36680765370541507,6,1,0.5796633892483218,No,Mobile,Afternoon,No,5.748219436385017,0.9938490047997527,35,1
Direct,8.251617505282802,0.32584980323847057,13,3,0.4820206895441872,No,Mobile,Afternoon,No,5.828122145614562,0.10811903168883175,2,1
Social Media,4.758778012164495,0.4357863457876322,4,3,0.4142935536031016,No,Desktop,Evening,No,6.946892884790513,0.43875614189064893,39,1
Direct,4.467750484252134,0.3861067896774851,3,3,0.25307623810304825,Yes,Desktop,Night,Yes,1.5427527180668048,0.9141856678277361,99,1
Direct,6.728927849267972,0.6719478510074037,7,2,0.66685528434083,No,Desktop,Evening,No,3.7342614730797994,0.006797078897509468,53,0
Organic Search,6.532531474447351,0.48490971994393384,3,1,0.6309133494178178,Yes,Mobile,Afternoon,No,4.254976308106913,0.9152312083009789,90,1
Social Media,6.386064413534134,0.49153432223871724,6,4,0.4627662491766375,No,Desktop,Afternoon,Yes,6.466315750138932,0.10138215125883587,58,1
Direct,9.399333790520783,0.6330314247789044,5,3,0.44679288545614704,No,Tablet,Afternoon,No,6.915387151699751,0.44460813064829596,60,1
Organic Search,8.237143406450837,0.3222462499140837,7,1,0.5000126176808538,Yes,Mobile,Afternoon,Yes,2.4235404673724514,0.21968993593544106,98,0
Paid Ads,7.135531908466647,0.14762451132830295,4,4,0.2784388222042954,No,Mobile,Morning,No,1.6810039965761612,0.6628564031967348,32,1
Direct,8.549038784934446,0.6413940649264499,8,4,0.8400436392026438,No,Desktop,Afternoon,Yes,7.9361165062131125,0.9841591675026141,85,1
Paid Ads,5.025418876686103,0.42716834962162253,9,5,0.5466205394057528,No,Desktop,Morning,Yes,3.7879701341298926,0.7771848824642112,70,1
Organic Search,8.315835871729034,0.4278702415797857,8,4,0.1484706922909384,Yes,Desktop,Morning,Yes,8.505572608066364,0.7529873795239939,44,1
Organic Search,8.451807478533901,0.27333401569395277,6,3,1.0,Yes,Tablet,Morning,Yes,6.147309889100086,0.4681676624605937,78,1
Organic Search,3.490859421927558,0.2766289333792845,5,5,0.5135960601585206,No,Desktop,Afternoon,Yes,4.703695621584814,0.5757374540934689,23,1
Organic Search,10.987081263111087,0.5693444677541688,3,3,0.6921600358124022,No,Mobile,Afternoon,No,6.7154128173704635,0.5343400195102915,9,0
Direct,5.355698884319013,0.5969311596275221,4,4,0.5429630748149917,Yes,Mobile,Afternoon,No,7.381858966746636,0.36780757390257246,16,0
Paid Ads,8.270929397619305,0.5567646811493318,4,1,0.5449868189978937,Yes,Tablet,Afternoon,Yes,4.511998030204656,0.9685373200353296,89,0
Organic Search,11.493235221605811,0.5585923210890951,6,4,0.3496825477375589,No,Mobile,Evening,Yes,3.9196334761604668,0.8833587631875743,72,1
Direct,10.777030273141609,0.5138059074519519,5,2,0.9957001013584563,No,Mobile,Morning,No,5.151832141056889,0.89140164059011,83,0
Direct,8.103000165706506,0.42630454601563134,3,4,0.3934106101152287,Yes,Mobile,Afternoon,Yes,7.447037236388239,0.26057333878131705,32,1
Organic Search,6.9125029913537945,0.3649240631358039,6,3,0.38408697918935886,No,Mobile,Afternoon,Yes,4.376524566790281,0.7491869881158127,43,0
Organic Search,10.842535725726702,0.6420647699883106,5,3,0.4327236723476656,Yes,Desktop,Afternoon,No,4.449130999081827,0.5581261353528063,95,1
Direct,10.02408493342586,0.32525582590191326,8,2,0.46197187456125,No,Desktop,Afternoon,No,3.906447560468079,0.5726507500883373,40,1
Organic Search,6.14490493986761,0.4739958427761494,3,1,0.47531300261887727,No,Tablet,Evening,Yes,3.1647735781664883,0.16625910802601218,35,1
Direct,5.615319058994929,0.23919740040915072,5,3,0.511620041517901,Yes,Tablet,Morning,No,5.704417938626937,0.4548822649139239,48,1
Organic Search,1.7829344549120059,0.26814019262990996,2,3,0.3584392527879184,No,Mobile,Afternoon,Yes,3.8714851952888782,0.49286208773096263,68,1
Direct,8.462095525050762,0.3527690864285547,4,2,0.5696446778721569,No,Tablet,Morning,Yes,7.807943639367501,0.6870799903011685,96,1
Organic Search,7.751906764944804,0.2392123246545673,6,4,0.6969461154102989,Yes,Mobile,Evening,Yes,7.973059505748941,0.6017177941680378,61,1
Organic Search,11.408574123927627,0.55957036509566,4,2,0.2806430950413883,No,Desktop,Evening,No,1.5517788404938688,0.24563680958625667,68,1
Social Media,9.0771652804411,0.13039314969099414,6,1,0.9425045582004877,No,Desktop,Afternoon,No,5.245726464528374,0.06467049423760451,50,0
Direct,12.002687582518071,0.4198459246762146,1,2,0.0788600775895616,No,Mobile,Morning,Yes,7.4037231108600485,0.8435332079973151,60,1
Organic Search,5.907907316251487,0.4265016193684363,8,4,0.4769243311992335,No,Mobile,Afternoon,No,6.375591268507978,0.6169747087801295,26,1
Direct,11.414450992902855,0.03784008433606384,4,1,0.4114321165895185,No,Tablet,Afternoon,Yes,7.702251717671325,0.5592248403458591,12,1
Social Media,6.413250862686034,0.31179523589527824,4,4,0.5953810170055507,Yes,Mobile,Evening,Yes,3.5373594581627286,0.18435119286603496,51,1
Paid Ads,10.332788185376817,0.4511399076096286,7,3,0.48587691940657857,No,Mobile,Morning,No,1.8100843360531496,0.9533933393289025,24,1
Direct,3.6237248224079197,0.48574559865881367,4,2,0.3068716104973892,Yes,Desktop,Night,No,5.180005488716608,0.6982181814054234,54,1
Organic Search,8.705405898098565,0.3591385582799669,4,4,0.5884439644117647,No,Tablet,Afternoon,Yes,5.645819125181391,0.6625783950102369,70,1
Paid Ads,2.04593617566227,0.5353776408961431,5,2,0.6364373768307048,No,Mobile,Evening,Yes,7.093286240888272,0.37201194644807434,62,0
Organic Search,7.198587542174736,0.37813674855279183,4,3,0.5165074049103942,No,Mobile,Evening,No,4.55098181210027,0.5006313362624023,36,0
Organic Search,9.32106198163374,0.40273058241501136,6,5,0.4133379235088509,No,Mobile,Evening,No,8.50258056119857,0.7611156411015789,9,0
Direct,6.437094346306713,0.4503307737973108,6,6,0.8640271267174182,No,Tablet,Morning,No,6.277096598507503,0.3604337812518682,8,1
Direct,4.8486871137320975,0.5853999257468337,5,1,1.0,No,Mobile,Morning,No,4.060633881457152,0.9471177527165495,62,0
